tick,stage,speed_kph,steering_cmd_norm,steering_wheel_deg,steering_input,throttle_cmd,brake_cmd,lane_offset,lane_confidence,route_heading_error_deg,route_lookahead_m,route_speed_target_kph,route_curve_speed_cap_kph,route_preview_curvature,route_preview_distance_m,route_progress_index,sensor_near_offset,sensor_far_offset,sensor_heading_hint,sensor_curvature_hint,sensor_width_norm,sensor_sample_count,sensor_speed_target_kph,sensor_curve_speed_cap_kph,sensor_obstacle_speed_cap_kph,sensor_lateral_accel_cap_kph,sensor_depth_min_m,sensor_close_fraction,sensor_lateral_accel_mps2,imitation_pred_norm,damage
44,imitate,3.460,0.000000,-0.994,0.001140,0.600000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,17.500,35.128,240.000,240.000,125.000,0.000000,3.213346,-0.009433,2.500
45,imitate,41.759,0.000000,-1.873,0.002755,0.000000,0.663091,0.000000,0.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,17.500,35.128,240.000,39.126,255.000,0.000000,6.462483,0.050376,2.500
46,imitate,20.640,-0.300000,0.003,0.000053,0.600000,0.000000,-0.476562,0.333,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.476562,-0.476562,0.000000,0.000000,0.437500,2,12.000,48.190,240.000,12.000,222.000,0.000000,8.950086,-0.019544,2.500
47,imitate,38.924,-0.108072,122.573,-0.240681,0.298467,0.000000,-0.258672,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.546094,-0.103906,0.154766,-0.224219,0.525521,6,23.199,40.741,240.000,23.199,255.000,0.000000,7.462334,0.033175,2.500
48,imitate,41.639,-0.048035,58.075,-0.106433,0.600000,0.000000,-0.023555,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.007812,-0.032031,-0.008477,-0.023242,0.585417,6,40.000,49.901,240.000,240.000,255.000,0.000000,2.057043,-0.025180,2.500
49,imitate,51.852,-0.090143,18.645,-0.029391,0.000000,0.000000,0.005313,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.000781,0.008594,0.003281,0.021875,0.769271,6,24.106,49.946,240.000,24.106,108.000,0.000000,7.392257,-0.118553,2.500
50,imitate,46.463,-0.059034,50.209,-0.094089,0.600000,0.000000,0.022539,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.002344,0.035937,0.013398,0.017773,0.762240,6,40.000,49.924,240.000,240.000,94.000,0.000000,0.600612,-0.060603,2.500
51,imitate,54.010,-0.020662,25.255,-0.049317,0.000000,0.401004,0.113711,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,0.175781,0.062070,-0.004102,0.757031,6,40.000,49.678,240.000,240.000,92.000,0.000000,5.060059,-0.025426,2.500
52,imitate,46.707,0.048023,10.323,-0.017413,0.600000,0.000000,0.060625,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.002344,0.094531,0.033906,0.062891,0.831771,6,40.000,49.237,240.000,240.000,36.000,0.000000,4.860946,0.074892,2.500
53,imitate,49.938,0.039441,-14.169,0.028054,0.000000,0.000000,0.046914,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.002344,0.073438,0.026523,0.056055,0.838281,6,40.000,49.441,240.000,240.000,35.000,0.000000,2.227412,0.034539,2.500
54,imitate,48.525,0.021354,-23.192,0.042040,0.000000,0.000000,-0.000039,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.204688,0.110156,0.110195,-0.247461,0.895052,6,40.000,43.636,240.000,240.000,39.000,0.000000,4.695879,0.037691,2.500
55,imitate,48.060,0.000000,-13.388,0.024264,0.000000,0.000000,0.097969,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,0.151562,0.053594,0.068359,0.811979,6,40.000,48.811,240.000,240.000,96.000,0.000000,0.092266,-0.018176,2.500
