tick,stage,speed_kph,steering_cmd_norm,steering_wheel_deg,steering_input,throttle_cmd,brake_cmd,lane_offset,lane_confidence,route_heading_error_deg,route_lookahead_m,route_speed_target_kph,route_curve_speed_cap_kph,route_preview_curvature,route_preview_distance_m,route_progress_index,sensor_near_offset,sensor_far_offset,sensor_heading_hint,sensor_curvature_hint,sensor_width_norm,sensor_sample_count,sensor_speed_target_kph,sensor_curve_speed_cap_kph,sensor_obstacle_speed_cap_kph,sensor_lateral_accel_cap_kph,sensor_depth_min_m,sensor_close_fraction,sensor_lateral_accel_mps2,damage
16,sensor,17.144,-0.042769,2.310,-0.005580,0.000000,0.514378,0.025469,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.622656,-0.296094,-0.321562,0.057422,0.636198,6,12.000,37.881,240.000,12.000,255.000,0.000000,8.597537,0.000
17,sensor,0.350,-0.014969,17.706,-0.042769,0.600000,0.000000,0.075430,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.620313,-0.217969,-0.293398,-0.020508,0.703125,6,12.000,38.543,240.000,12.000,255.000,0.000000,9.748941,0.000
18,sensor,15.983,-0.082441,6.197,-0.014969,0.000000,0.398280,0.016094,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.623437,-0.310937,-0.327031,0.010937,0.636458,6,12.000,38.836,240.000,12.000,255.000,0.000000,8.934264,0.000
19,sensor,1.406,-0.067824,34.131,-0.082441,0.600000,0.000000,0.040508,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.625000,-0.274219,-0.314727,0.009570,0.674740,6,15.548,38.804,240.000,15.548,255.000,0.000000,7.789552,0.000
20,sensor,16.374,-0.086541,28.079,-0.067824,0.000000,0.437351,0.009922,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.620313,-0.318750,-0.328672,0.062891,0.620313,6,12.000,37.807,240.000,12.000,255.000,0.000000,9.063623,0.000
21,sensor,1.217,-0.040219,35.828,-0.086541,0.600000,0.000000,0.051797,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.629687,-0.259375,-0.311172,0.035547,0.658073,6,14.304,38.261,240.000,14.304,255.000,0.000000,7.947023,0.000
22,sensor,16.390,-0.101496,16.651,-0.040219,0.000000,0.438967,0.000273,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.600000,-0.322656,-0.322930,0.034180,0.536719,6,12.000,38.522,240.000,12.000,255.000,0.000000,8.854664,0.000
23,sensor,0.838,-0.109914,42.019,-0.101496,0.600000,0.000000,0.022187,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.633594,-0.307031,-0.329219,-0.000000,0.536198,6,12.000,38.977,240.000,12.000,255.000,0.000000,8.767116,0.000
24,sensor,14.081,-0.117553,45.505,-0.109914,0.000000,0.208139,0.003906,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.603125,-0.318750,-0.322656,0.041016,0.539583,6,12.000,38.366,240.000,12.000,255.000,0.000000,8.764788,0.000
25,sensor,5.459,-0.113067,48.667,-0.117553,0.600000,0.000000,0.011602,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.626563,-0.319531,-0.331133,0.039648,0.579167,6,32.000,38.286,240.000,240.000,255.000,0.000000,3.853849,0.000
26,sensor,17.139,-0.413067,46.810,-0.113067,0.000000,0.513931,-0.439453,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.657812,-0.321875,0.117578,-0.092969,0.590104,6,12.000,35.465,240.000,12.000,255.000,0.000000,8.744242,0.000
27,sensor,1.738,-0.713067,160.846,-0.409950,0.600000,0.000000,-0.431367,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.649219,-0.314063,0.117305,-0.132617,0.629687,6,12.000,34.312,240.000,12.000,44.000,0.000000,10.319112,0.000
28,sensor,29.755,-0.818268,284.589,-0.709337,0.000000,1.000000,-0.430469,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.653906,-0.310156,0.120312,-0.041016,0.591146,6,12.771,36.980,240.000,12.771,255.000,0.000000,8.165869,0.000
29,sensor,0.325,-0.578268,338.763,-0.818268,0.600000,0.000000,0.056250,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.584375,-0.228125,-0.284375,0.175000,0.646875,6,12.000,34.746,240.000,12.000,43.000,0.000000,11.982365,0.000
30,sensor,28.810,-0.338268,239.403,-0.578268,0.000000,1.000000,0.097188,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.596875,-0.171875,-0.269062,0.194141,0.608854,6,14.949,33.905,240.000,14.949,255.000,0.000000,7.863423,0.000
31,sensor,0.062,-0.521567,140.043,-0.338268,0.600000,0.000000,-0.329180,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.634375,-0.164844,0.164336,-0.025977,0.668229,6,12.000,37.736,240.000,12.000,42.000,0.000000,12.368252,0.000
32,sensor,27.343,-0.502270,215.929,-0.521567,0.000000,1.000000,-0.273672,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.628125,-0.082812,0.190859,-0.035547,0.637240,6,14.531,37.691,240.000,14.531,42.000,0.000000,7.917067,0.000
33,sensor,0.252,-0.262270,207.940,-0.502270,0.600000,0.000000,0.189297,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.635156,-0.050781,-0.240078,0.079297,0.668490,6,12.000,36.807,240.000,12.000,41.000,0.000000,11.461763,0.000
34,sensor,11.785,-0.022270,108.580,-0.262270,0.000000,0.000000,0.193711,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.628906,-0.040625,-0.234336,0.116211,0.638542,6,12.000,35.790,240.000,12.000,41.000,0.000000,9.322922,0.000
35,sensor,7.324,0.217730,9.220,-0.022270,0.600000,0.000000,0.218477,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.634375,-0.005469,-0.223945,0.102539,0.677865,6,32.000,36.073,240.000,240.000,41.000,0.000000,0.204171,0.000
36,sensor,17.545,0.307970,-90.140,0.217730,0.000000,0.440261,0.207344,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.635938,-0.023438,-0.230781,0.079297,0.655469,6,13.143,36.747,240.000,13.143,40.000,0.000000,8.109943,0.000
37,sensor,5.396,0.007970,-127.499,0.307970,0.600000,0.000000,-0.305234,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.641406,-0.124219,0.181016,-0.027344,0.695833,6,14.039,37.739,240.000,14.039,39.000,0.000000,7.982787,0.000
38,sensor,18.089,-0.292030,-3.299,0.007970,0.000000,0.608938,-0.304883,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.637500,-0.125781,0.179102,0.006836,0.629948,6,12.000,38.211,240.000,12.000,39.000,0.000000,9.314820,0.000
39,sensor,1.652,-0.052030,120.901,-0.292030,0.600000,0.000000,0.125820,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.635156,-0.148438,-0.274258,0.138086,0.690104,6,12.000,35.340,240.000,12.000,37.000,0.000000,11.652754,0.000
40,sensor,16.531,-0.352030,21.541,-0.052030,0.000000,0.453079,-0.293867,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.633594,-0.110937,0.182930,-0.064258,0.638542,6,12.000,36.889,240.000,12.000,37.000,0.000000,8.993512,0.000
